Vote ID,File,Order of vote,Date,O'clock,Title,Title_Ro,Title_Fr,Title_German,Title_Polski,Procedure,Leg/Non-Leg/Bud,Type of Vote,Voting Rule,Rapporteur,Code,interinstitutional file number,Link,Committee responsabile,De,Subject,Subject_ro,Subject_fr,Subject_ger,Subject_pl,Final vote?,Am No.,Author,RCV,Vote,Yeas,No,Abs,is_main
1,1.0,1.0,2014-07-16 00:00:00,,"Appointment of 4 members of the European Commission - Jyrki KATAINEN (FI), Jacek DOMINIK (PL), Ferdinando NELLI FEROCI (IT), Martine REICHERTS (LU)","Numirea a patru membri ai Comisiei Europene - Jyrki KATAINEN (FI), Jacek DOMINIK (PL), Ferdinando NELLI FEROCI (IT), Martine REICHERTS (LU)","Nomination de 4 membres de la Commission européenne - Jyrki KATAINEN (FI), Jacek DOMINIK (PL), Ferdinando NELLI FEROCI (IT), Martine REICHERTS (LU)","Ernennung von vier Mitgliedern der Kommission - Jyrki KATAINEN (FI), Jacek DOMINIK (PL), Ferdinando NELLI FEROCI (IT), Martine REICHERTS (LU)","Powołanie 4 członków Komisji Europejskiej - Jyrkiego KATAINENA (FI), Jacka DOMINIKA (PL), Ferdinanda NELLIEGO FEROCIEGO (IT), Martine REICHERTS (LU)",,Non,Appointment of commissioners,s,0,0,0,http://www.europarl.europa.eu/sides/getDoc.do?type=AGENDA&reference=20140716&secondRef=SIT&language=EN&format=XML# ,0,Constitutional Affairs,,,,,,1.0,,0,RCV,+,421,170,32,1.0
5,1.0,4.0,2014-07-16 00:00:00,,Adoption by Lithuania of the euro on 1 January 2015,,,,,*,Leg,Draft legislative resolution,s,Langen,A8-0001/2014 ,2014/0170/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0001&language=EN,Committee on Economic and Monetary Affairs,Economic and Monetary Affairs,vote: legislative resolution,,,,,1.0,,0,RCV,+,545,116,34,1.0
7,2.0,2.0,2014-07-17 00:00:00,,"Nigeria, recent attacks by Boko Haram",,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0016/2014 ,2014/2729/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0016&language=EN,0,Foreign Affairs,vote: resolution,,,,,1.0,,0,RCV,+,564,28,35,1.0
15,2.0,8.0,2014-07-17 00:00:00,,Situation in Ukraine,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0025/2014 ,2014/2717/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0025&language=EN,0,Foreign Affairs,vote: resolution,,,,,1.0,,0,RCV,+,497,121,21,1.0
32,2.0,17.0,2014-07-17 00:00:00,,Youth employment,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0027/2014 ,2014/2713/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN,0,Employment And Social Affairs,vote: resolution,,,,,1.0,,0,RCV,+,502,112,22,1.0
39,2.0,6.0,2014-07-17 00:00:00,,Escalation of violence between Israel and Palestine,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0071/2014 ,2014/2723/RSP ,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0071&language=EN,0,Foreign Affairs,vote: resolution,,,,,1.0,,0,RCV,+,459,113,60,1.0
40,3.0,1.0,2014-09-16 00:00:00,,"EU-Ukraine association agreement, with the exception of the treatment of third country nationals legally employed as workers in the territory of the other party",,,,,***,Leg,Draft legislative resolution,s,Saryusz-Wolski ,A8-0002/2014 ,2013/0151A/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0002&language=EN,Committee on Foreign Affairs,Foreign Affairs,approbation,,,,,1.0,,0,RCV,+,535,127,35,1.0
41,3.0,1.0,2014-09-16 00:00:00,,"EU-Ukraine association agreement, as regards the treatment of third country nationals legally employed as workers in the territory of the other party",,,,,***,Leg,Draft legislative resolution,s,Moraes ,A8-0009/2014 ,2013/0151B/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=AGENDA&reference=20140916&secondRef=SIT&language=EN,"Committee on Civil Liberties, Justice and Home Affairs","Civil Liberties, Justice And Home Affairs",approbation,,,,,1.0,,0,RCV,+,539,123,33,1.0
42,4.0,1.0,2014-09-17 00:00:00,,Mobilisation of the European Globalisation Adjustment Fund - application EGF/2014/000 TA 2014 - Technical assistance at the initiative of the Commission,,,,,,Bud,Motion for resolution,q,Ni Riada,A8-0003/2014,2014/2041/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0003&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,550,80,67,1.0
43,4.0,1.0,2014-09-17 00:00:00,,Mobilisation of the European Globalisation Adjustment Fund - application EGF/2014/001 EL/Nutriart,,,,,,Bud,Motion for resolution,q,Kyrtsos,A8-0004/2014,2014/2042/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0004&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,624,69,11,1.0
44,4.0,1.0,2014-09-17 00:00:00,,Mobilisation of the European Globalisation Adjustment Fund : application EGF/2012/010 RO/MECHEL - Romania,,,,,,Bud,Motion for resolution,q,Mureşan,A8-0008/2014,2014/2043/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0008&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,614,71,16,1.0
45,4.0,1.0,2014-09-17 00:00:00,,Mobilisation of the European Globalisation Adjustment Fund : application EGF/2014/003 ES/Aragón food and beverage - Spain,,,,,,Bud,Motion for resolution,q,Jäätteenmäki,A8-0006/2014,2014/2054/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0006&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,597,74,26,1.0
46,4.0,1.0,2014-09-17 00:00:00,,Mobilisation of the European Globalisation Adjustment Fund : application EGF/2014/002 NL/Gelderland-Overijssel construction – The Netherlands,,,,,,Bud,Motion for resolution,q,Tang,A8-0005/2014,2014/2055/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0005&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,602,70,30,1.0
47,4.0,1.0,2014-09-17 00:00:00,,Mobilisation of the European Globalisation Adjustment Fund: application EGF/2013/010 ES/Castilla y León - Spain,,,,,,Bud,Motion for resolution,q,González Pons,A8-0007/2014,2014/2062/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0007&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,618,71,11,1.0
68,5.0,16.0,18.09.2014,,Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group,,,,,,Non,Motion for resolution,s,0,B8-0112/2014,2014/2845/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN,0,Foreign Affairs,vote: resolution,,,,,1.0,,0,RCV,-,55,512,71,1.0
81,5.0,13.0,18.09.2014,,Israel-Palestine after the Gaza war and the role of the EU,,,,,,Non,Joint motion for resolution,s,0,B8-0117/2014 ,2014/2845/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0117&language=EN,0,Foreign Affairs,vote: resolution,,,,,1.0,,0,RCV,+,447,143,41,1.0
82,5.0,1.0,18.09.2014,,Commission Delegated Regulation: Reinstatement of market access for Fiji (request by GUE/NGL and Greens/EFA groups to reject Commission delegated act),,,,,,Non,Motion for resolution,q,0,B8-0081/2014 ,2014/2781/DEA,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0081&language=EN,0,International Trade,vote: resolution,,,,,1.0,,0,RCV,-,153,397,18,1.0
83,6.0,1.0,21.10.2014,,Mobilisation of the European Globalisation Adjustment Fund: application EGF/2014/004 ES/Comunidad Valenciana metal,,,,,,Bud,Motion for resolution,q,Šulin,A8-0013/2014,2014/2064/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0013&language=EN,Committee on Budgets,Budgets,single vote,,,,,1.0,,0,RCV,+,589,72,10,1.0
